signal_date,net_return,ending_nav,specification,group
20140630,0.0578354999599051,1.331587863380177,R2_roe_shrinkage,2
20140630,0.0287569915559595,1.1361238568084615,R2_roe_shrinkage,3
20140630,0.0544235137278432,1.311835318097671,R2_roe_shrinkage,4
20140630,0.0684693799234179,1.2962995015463763,R2_roe_shrinkage,5
20140630,0.0544204355659752,1.326262722038913,R2_roe_shrinkage,6
20140630,0.0565477847592879,1.416525268596164,R2_roe_shrinkage,7
20140630,0.0510096229738146,1.386562458457107,R2_roe_shrinkage,8
20140630,0.0782494760797321,1.522534805276996,R2_roe_shrinkage,9
20140630,0.0547346010864233,1.6251656519662494,R2_roe_shrinkage,10
20140731,0.0678293533493834,1.1660471328920372,R2_roe_shrinkage,1
20140731,0.050943894587454,1.39942413512615,R2_roe_shrinkage,2
20140731,0.0574232927977385,1.20136382969247,R2_roe_shrinkage,3
20140731,0.0525828332441062,1.3808153358729298,R2_roe_shrinkage,4
20140731,0.0486245214658733,1.3593314444855191,R2_roe_shrinkage,5
20140731,0.0598392043748512,1.405625228117746,R2_roe_shrinkage,6
20140731,0.0455515177062797,1.4810501444500148,R2_roe_shrinkage,7
20140731,0.0668532177869178,1.4792586204675042,R2_roe_shrinkage,8
20140731,0.0489148596077542,1.5970093815250397,R2_roe_shrinkage,9
20140731,0.0447446970905396,1.6978831967854286,R2_roe_shrinkage,10
20140829,0.1179110083423893,1.3035369261060894,R2_roe_shrinkage,1
20140829,0.1326040732157001,1.584993475600236,R2_roe_shrinkage,2
20140829,0.1190571089910488,1.3443947341020703,R2_roe_shrinkage,3
20140829,0.1100513355933276,1.532775907793495,R2_roe_shrinkage,4
20140829,0.1142686237108694,1.5146603778137877,R2_roe_shrinkage,5
20140829,0.1098880052060564,1.5600865805029132,R2_roe_shrinkage,6
20140829,0.1163435729551718,1.6533608099811028,R2_roe_shrinkage,7
20140829,0.114477353240459,1.648600232096757,R2_roe_shrinkage,8
20140829,0.1255495970867741,1.7975132659193067,R2_roe_shrinkage,9
20140829,0.1187994132446779,1.899590724321536,R2_roe_shrinkage,10
20140930,0.0066516312081064,1.3122075730046958,R2_roe_shrinkage,1
20140930,0.0190773360998564,1.6152309288503413,R2_roe_shrinkage,2
20140930,0.0017578662667117,1.3467580002542932,R2_roe_shrinkage,3
20140930,0.0151606888312714,1.5560138463796218,R2_roe_shrinkage,4
20140930,0.0077952287645439,1.5264675019594365,R2_roe_shrinkage,5
20140930,0.0091972125333101,1.5744350283541635,R2_roe_shrinkage,6
20140930,0.0276226860190575,1.6990310765114256,R2_roe_shrinkage,7
20140930,0.016090476145159,1.6751269948042131,R2_roe_shrinkage,8
20140930,0.0227024369539559,1.8383211975127391,R2_roe_shrinkage,9
20140930,-0.0003190576942011,1.898984645285108,R2_roe_shrinkage,10
20141031,0.0600765240150629,1.39104044277706,R2_roe_shrinkage,1
20141031,0.0394091658611723,1.6788858324295,R2_roe_shrinkage,2
20141031,0.0231332216166333,1.3779128515381496,R2_roe_shrinkage,3
20141031,0.0470928982197558,1.629291048075708,R2_roe_shrinkage,4
20141031,0.0489342632516647,1.6011640645454306,R2_roe_shrinkage,5
20141031,0.0332710365521289,1.6268181137314872,R2_roe_shrinkage,6
20141031,0.0459184888404622,1.777048016037814,R2_roe_shrinkage,7
20141031,0.0351673492941149,1.734036770942494,R2_roe_shrinkage,8
20141031,0.0359723949801606,1.9044500137300695,R2_roe_shrinkage,9
20141031,0.0439559769349613,1.9824563705531055,R2_roe_shrinkage,10
20141128,-0.0279289167926133,1.3521901899955795,R2_roe_shrinkage,1
20141128,-0.0165996793055771,1.6510168660204934,R2_roe_shrinkage,2
20141128,-0.053531676393667,1.3041508666709345,R2_roe_shrinkage,3
20141128,-0.0483893346563315,1.5504507382978074,R2_roe_shrinkage,4
20141128,-0.060776499880054,1.5038509169686385,R2_roe_shrinkage,5
20141128,-0.0024494641649972,1.6228332810589334,R2_roe_shrinkage,6
20141128,-0.0390243043771025,1.707699953367228,R2_roe_shrinkage,7
20141128,0.0005122785402271,1.7349250807682126,R2_roe_shrinkage,8
20141128,-0.0095141217928638,1.8863308443510205,R2_roe_shrinkage,9
20141128,-0.011640479277568,1.9593796282529996,R2_roe_shrinkage,10
20141231,0.0421210577682389,1.4091458711020293,R2_roe_shrinkage,1
20141231,0.0476387180838502,1.7296691930525254,R2_roe_shrinkage,2
20141231,0.0575726479267568,1.3792342853611548,R2_roe_shrinkage,3
20141231,0.0445155101800949,1.6194698439222392,R2_roe_shrinkage,4
20141231,0.0762436774960546,1.618510041284141,R2_roe_shrinkage,5
20141231,0.0853945181187862,1.7614143470820898,R2_roe_shrinkage,6
20141231,0.0856254743832549,1.8539225719785597,R2_roe_shrinkage,7
20141231,0.0845718529234744,1.881650909532189,R2_roe_shrinkage,8
20141231,0.1026158842045674,2.079898351846449,R2_roe_shrinkage,9
20141231,0.0988853453875104,2.153133559538049,R2_roe_shrinkage,10
20150130,0.0949646492744911,1.5429649145278308,R2_roe_shrinkage,1
20150130,0.096773199328515,1.897054814644189,R2_roe_shrinkage,2
20150130,0.099509163156624,1.516480734894368,R2_roe_shrinkage,3
20150130,0.1110977518358649,1.799389302747979,R2_roe_shrinkage,4
20150130,0.0933616304227611,1.7696167775940388,R2_roe_shrinkage,5
20150130,0.0940842311081875,1.9271356615902384,R2_roe_shrinkage,6
20150130,0.0815398159558244,2.00509107729404,R2_roe_shrinkage,7
20150130,0.1031258024162202,2.0756976694449065,R2_roe_shrinkage,8
20150130,0.0928173298024164,2.272948963125283,R2_roe_shrinkage,9
20150130,0.1003242396973995,2.3691450468656594,R2_roe_shrinkage,10
20150227,0.1812201001075142,1.8225811708009465,R2_roe_shrinkage,1
20150227,0.1953144434870657,2.2675770200308776,R2_roe_shrinkage,2
20150227,0.1922635356395003,1.808044682714347,R2_roe_shrinkage,3
20150227,0.1769196485191151,2.117736625739207,R2_roe_shrinkage,4
20150227,0.2075023256367647,2.136816374430639,R2_roe_shrinkage,5
20150227,0.1898421238881495,2.2929871886071234,R2_roe_shrinkage,6
20150227,0.2195301926029096,2.445269107678776,R2_roe_shrinkage,7
20150227,0.192704204234023,2.4756933370657035,R2_roe_shrinkage,8
20150227,0.1966975267872763,2.7200324026857303,R2_roe_shrinkage,9
20150227,0.2329492952752443,2.9210357159378506,R2_roe_shrinkage,10
20150331,0.1524564804438315,2.1004454814244564,R2_roe_shrinkage,1
20150331,0.1423896309857075,2.5904564751447445,R2_roe_shrinkage,2
20150331,0.1491645030518333,2.0777407693069425,R2_roe_shrinkage,3
20150331,0.1484319745384335,2.432076454650037,R2_roe_shrinkage,4
20150331,0.1729788554128228,2.5064404251070296,R2_roe_shrinkage,5
20150331,0.163202603131469,2.667208666734915,R2_roe_shrinkage,6
20150331,0.1341394988350062,2.7732762802995294,R2_roe_shrinkage,7
20150331,0.1553359512975556,2.8602575166998245,R2_roe_shrinkage,8
20150331,0.1603662271826975,3.1562337369191287,R2_roe_shrinkage,9
20150331,0.1293389232746289,3.298839330283987,R2_roe_shrinkage,10
20150430,0.2389327891553934,2.602310778770045,R2_roe_shrinkage,1
20150430,0.2476143050346919,3.2318905549603283,R2_roe_shrinkage,2
20150430,0.2745953834253478,2.6482787925132594,R2_roe_shrinkage,3
20150430,0.238360202002879,3.0117866896668657,R2_roe_shrinkage,4
20150430,0.2064290735673752,3.023842600013692,R2_roe_shrinkage,5
20150430,0.2062672094805471,3.217366355524657,R2_roe_shrinkage,6
20150430,0.1982130071149803,3.3229757113783465,R2_roe_shrinkage,7
20150430,0.2892468655030296,3.687578037936728,R2_roe_shrinkage,8
20150430,0.2323320847796539,3.8895281010694274,R2_roe_shrinkage,9
20150430,0.2535763121429772,4.135346842009609,R2_roe_shrinkage,10
20150529,-0.1584857484840884,2.1898816072084633,R2_roe_shrinkage,1
20150529,-0.1496459394156258,2.7482512567748016,R2_roe_shrinkage,2
20150529,-0.1256974688520723,2.3153968514797203,R2_roe_shrinkage,3
20150529,-0.1286246470713944,2.6243966896541417,R2_roe_shrinkage,4
20150529,-0.1187699017321614,2.6647011115565427,R2_roe_shrinkage,5
20150529,-0.1133339866786816,2.8527293998471865,R2_roe_shrinkage,6
20150529,-0.1032653979497842,2.979827302165394,R2_roe_shrinkage,7
20150529,-0.0958966703577748,3.3339515824141395,R2_roe_shrinkage,8
20150529,-0.0821059801898516,3.5701745838551497,R2_roe_shrinkage,9
20150529,-0.0846042182919941,3.785479055075119,R2_roe_shrinkage,10
20150630,-0.1820081410527155,1.7913053267549175,R2_roe_shrinkage,1
20150630,-0.1831721267597795,2.244848229201124,R2_roe_shrinkage,2
20150630,-0.1655354708903502,1.9321165433719905,R2_roe_shrinkage,3
20150630,-0.1829235119179537,2.144332830516754,R2_roe_shrinkage,4
20150630,-0.1614269982024344,2.2345464100112795,R2_roe_shrinkage,5
20150630,-0.1401455509263067,2.4529320664619303,R2_roe_shrinkage,6
20150630,-0.1280147437271626,2.5983654737274886,R2_roe_shrinkage,7
20150630,-0.1187851454331271,2.9379276588300716,R2_roe_shrinkage,8
20150630,-0.1254840080529803,3.1221747676241245,R2_roe_shrinkage,9
20150630,-0.1176637133872404,3.3400655325053585,R2_roe_shrinkage,10
20150731,-0.1658818526186782,1.494160280547105,R2_roe_shrinkage,1
20150731,-0.156706434972433,1.8930660661488363,R2_roe_shrinkage,2
20150731,-0.1488492149842404,1.6445225126330056,R2_roe_shrinkage,3
20150731,-0.1508100895422245,1.8209458043381903,R2_roe_shrinkage,4
20150731,-0.1584763343154032,1.880423686095048,R2_roe_shrinkage,5
20150731,-0.158850591875182,2.063282355874839,R2_roe_shrinkage,6
20150731,-0.1321408891191071,2.255015149772748,R2_roe_shrinkage,7
20150731,-0.1512239981140553,2.493642492091922,R2_roe_shrinkage,8
20150731,-0.1233160403497012,2.737160538000969,R2_roe_shrinkage,9
20150731,-0.1268333273185753,2.9164339075556147,R2_roe_shrinkage,10
20150831,0.0060768959619339,1.5032401371224438,R2_roe_shrinkage,1
20150831,0.0450683001071166,1.978383335740631,R2_roe_shrinkage,2
20150831,-0.0106847814443665,1.6269511490051811,R2_roe_shrinkage,3
20150831,0.0398296216006734,1.8934733866803148,R2_roe_shrinkage,4
20150831,0.0359246151296566,1.947977183298703,R2_roe_shrinkage,5
20150831,0.0403372808675779,2.1465095557728806,R2_roe_shrinkage,6
20150831,-0.0059429878565679,2.241613622121272,R2_roe_shrinkage,7
20150831,0.0555864482103098,2.6322552213336174,R2_roe_shrinkage,8
20150831,0.0154251281972035,2.7793815901959604,R2_roe_shrinkage,9
20150831,0.0402453224184018,3.0338067304771497,R2_roe_shrinkage,10
20150930,0.07284548831949,1.6127443989725854,R2_roe_shrinkage,1
20150930,0.1333437041908207,2.242188298037679,R2_roe_shrinkage,2
20150930,0.0862982208087113,1.767354138507017,R2_roe_shrinkage,3
20150930,0.0898362524730074,2.063575939897048,R2_roe_shrinkage,4
20150930,0.1301134686878107,2.2014352515424083,R2_roe_shrinkage,5
20150930,0.129898686972993,2.42533832864276,R2_roe_shrinkage,6
20150930,0.1148719877671085,2.49911223470017,R2_roe_shrinkage,7
20150930,0.1173124793632665,2.941051607665168,R2_roe_shrinkage,8
20150930,0.1132720160252043,3.094207746220795,R2_roe_shrinkage,9
20150930,0.1119964372607424,3.373582275628252,R2_roe_shrinkage,10
20151030,0.0911418190964952,1.7597328572326305,R2_roe_shrinkage,1
20151030,0.1067491782327494,2.4815400562962884,R2_roe_shrinkage,2
20151030,0.0862494492841152,1.9197874596432492,R2_roe_shrinkage,3
20151030,0.0888091949001066,2.246840457734536,R2_roe_shrinkage,4
20151030,0.1169773238969988,2.4589532560003557,R2_roe_shrinkage,5
20151030,0.0938870533388751,2.653046197668861,R2_roe_shrinkage,6
20151030,0.1044354250718844,2.7601080832334293,R2_roe_shrinkage,7
20151030,0.1022170271859961,3.241677159801296,R2_roe_shrinkage,8
20151030,0.1102840533691236,3.4354495184401648,R2_roe_shrinkage,9
20151030,0.1167847165360211,3.767565125398443,R2_roe_shrinkage,10
20151130,0.0364725473110949,1.823914797122936,R2_roe_shrinkage,1
20151130,0.0302398732260669,2.556581513004095,R2_roe_shrinkage,2
20151130,0.0300865125528617,1.977547169146632,R2_roe_shrinkage,3
20151130,0.088313721536174,2.4452673002551135,R2_roe_shrinkage,4
20151130,0.0410759863002163,2.5599571862566988,R2_roe_shrinkage,5
20151130,0.0691565022090234,2.836521592898589,R2_roe_shrinkage,6
20151130,0.0418104459654831,2.875509433106354,R2_roe_shrinkage,7
20151130,0.0738549477936294,3.4810910572022213,R2_roe_shrinkage,8
20151130,0.076795096259159,3.6992751949022584,R2_roe_shrinkage,9
20151130,0.0822192753251618,4.077331599749056,R2_roe_shrinkage,10
20151231,-0.3090534611781211,1.260227616178102,R2_roe_shrinkage,1
20151231,-0.2845085081287579,1.8292123208297373,R2_roe_shrinkage,2
20151231,-0.2854856352561986,1.4129858593137086,R2_roe_shrinkage,3
20151231,-0.2915193796631096,1.732424493774256,R2_roe_shrinkage,4
20151231,-0.2945752732436942,1.805857098622973,R2_roe_shrinkage,5
20151231,-0.2908546331081377,2.011506145692759,R2_roe_shrinkage,6
20151231,-0.2888707173042447,2.0448589605497993,R2_roe_shrinkage,7
20151231,-0.2848333641464143,2.4895601804793146,R2_roe_shrinkage,8
20151231,-0.2897093040745192,2.6275607526069935,R2_roe_shrinkage,9
20151231,-0.2755096814423686,2.95398726956729,R2_roe_shrinkage,10
20160129,-0.0308736143745836,1.2213198347320182,R2_roe_shrinkage,1
20160129,-0.0448149497869605,1.747236262522063,R2_roe_shrinkage,2
20160129,-0.0441662198732895,1.3505796151734104,R2_roe_shrinkage,3
20160129,-0.0425169942891744,1.6587670114660302,R2_roe_shrinkage,4
